
time,ax,ay,az,wx,wy,wz,
0.774,4.99,-7.61,-1.21,-0.75,0.47,4.97,
0.782,4.99,-7.61,-1.21,-0.58,0.35,4.85,
0.783,4.99,-7.61,-1.21,-0.58,0.35,4.85,
0.783,5.21,-7.38,-1.12,-0.58,0.35,4.85,
0.784,5.21,-7.38,-1.12,-0.58,0.35,4.85,
0.792,5.21,-7.38,-1.12,-0.41,-0.13,4.57,
0.794,5.21,-7.38,-1.12,-0.41,-0.13,4.57,
0.795,6.60,-6.90,-0.87,-0.41,-0.13,4.57,
0.796,6.60,-6.90,-0.87,-0.41,-0.13,4.57,
0.8,6.60,-6.90,-0.87,-0.20,-0.80,4.17,
0.801,6.60,-6.90,-0.87,-0.20,-0.80,4.17,
0.802,6.89,-6.30,-0.63,-0.20,-0.80,4.17,
0.802,6.89,-6.30,-0.63,-0.20,-0.80,4.17,
0.811,6.89,-6.30,-0.63,0.10,-1.51,3.71,
0.812,6.89,-6.30,-0.63,0.10,-1.51,3.71,
0.813,7.24,-5.74,-0.53,0.10,-1.51,3.71,
0.814,7.24,-5.74,-0.53,0.10,-1.51,3.71,
0.823,7.24,-5.74,-0.53,0.50,-2.15,3.23,
0.824,7.24,-5.74,-0.53,0.50,-2.15,3.23,
0.824,7.52,-5.28,-0.64,0.50,-2.15,3.23,
0.825,7.52,-5.28,-0.64,0.50,-2.15,3.23,
0.829,7.52,-5.28,-0.64,0.96,-2.66,2.76,
0.83,7.52,-5.28,-0.64,0.96,-2.66,2.76,
0.83,7.59,-5.05,-1.14,0.96,-2.66,2.76,
0.831,7.59,-5.05,-1.14,0.96,-2.66,2.76,
0.838,7.59,-5.05,-1.14,1.44,-3.04,2.38,
0.839,7.59,-5.05,-1.14,1.44,-3.04,2.38,
0.84,7.48,-4.96,-2.66,1.44,-3.04,2.38,
0.841,7.48,-4.96,-2.66,1.44,-3.04,2.38,
0.848,7.48,-4.96,-2.66,1.88,-3.37,2.11,
0.849,7.48,-4.96,-2.66,1.88,-3.37,2.11,
0.849,7.19,-4.87,-4.30,1.88,-3.37,2.11,
0.85,7.19,-4.87,-4.30,1.88,-3.37,2.11,
0.857,7.19,-4.87,-4.30,2.20,-3.71,1.96,
0.859,7.19,-4.87,-4.30,2.20,-3.71,1.96,
0.859,6.80,-4.74,-4.61,2.20,-3.71,1.96,
0.859,6.80,-4.74,-4.61,2.20,-3.71,1.96,
0.868,6.80,-4.74,-4.61,2.38,-4.09,1.91,
0.869,6.80,-4.74,-4.61,2.38,-4.09,1.91,
0.869,6.49,-4.47,-6.00,2.38,-4.09,1.91,
0.869,6.49,-4.47,-6.00,2.38,-4.09,1.91,
0.878,6.49,-4.47,-6.00,2.44,-4.52,1.92,
0.879,6.49,-4.47,-6.00,2.44,-4.52,1.92,
0.88,6.46,-4.05,-6.41,2.44,-4.52,1.92,
0.88,6.46,-4.05,-6.41,2.44,-4.52,1.92,
0.887,6.46,-4.05,-6.41,2.45,-4.95,1.95,
0.887,6.46,-4.05,-6.41,2.45,-4.95,1.95,
0.888,6.85,-3.53,-7.74,2.45,-4.95,1.95,
0.888,6.85,-3.53,-7.74,2.45,-4.95,1.95,
0.896,6.85,-3.53,-7.74,2.44,-5.38,1.95,
0.897,6.85,-3.53,-7.74,2.44,-5.38,1.95,
0.897,8.55,-2.99,-7.99,2.44,-5.38,1.95,
0.898,8.55,-2.99,-7.99,2.44,-5.38,1.95,
0.905,8.55,-2.99,-7.99,2.43,-5.82,1.84,
0.905,8.55,-2.99,-7.99,2.43,-5.82,1.84,
0.906,10.00,-2.56,-8.32,2.43,-5.82,1.84,
0.906,10.00,-2.56,-8.32,2.43,-5.82,1.84,
0.914,10.00,-2.56,-8.32,2.45,-6.26,1.58,
0.915,10.00,-2.56,-8.32,2.45,-6.26,1.58,
0.916,10.04,-2.40,-8.62,2.45,-6.26,1.58,
0.917,10.04,-2.40,-8.62,2.45,-6.26,1.58,
0.926,10.04,-2.40,-8.62,2.51,-6.65,1.17,
0.927,10.04,-2.40,-8.62,2.51,-6.65,1.17,
0.928,9.81,-2.44,-8.82,2.51,-6.65,1.17,
0.928,9.81,-2.44,-8.82,2.51,-6.65,1.17,
0.937,9.81,-2.44,-8.82,2.62,-6.89,0.73,
0.938,9.81,-2.44,-8.82,2.62,-6.89,0.73,
0.939,8.09,-2.56,-8.92,2.62,-6.89,0.73,
0.939,8.09,-2.56,-8.92,2.62,-6.89,0.73,
0.944,8.09,-2.56,-8.92,2.77,-6.92,0.37,
0.944,8.09,-2.56,-8.92,2.77,-6.92,0.37,
0.95,7.42,-2.71,-8.96,2.77,-6.92,0.37,
0.95,7.42,-2.71,-8.96,2.77,-6.92,0.37,
0.953,7.42,-2.71,-8.96,2.77,-6.92,0.37,
0.954,7.42,-2.71,-8.96,2.77,-6.92,0.37,
0.955,7.42,-2.71,-8.96,2.77,-6.92,0.37,
0.955,7.42,-2.71,-8.96,2.77,-6.92,0.37,
0.963,7.42,-2.71,-8.96,2.87,-6.77,0.17,
0.963,7.42,-2.71,-8.96,2.87,-6.77,0.17,
0.964,5.19,-2.91,-9.20,2.87,-6.77,0.17,
0.964,5.19,-2.91,-9.20,2.87,-6.77,0.17,
0.973,5.19,-2.91,-9.20,2.89,-6.49,0.14,
0.974,5.19,-2.91,-9.20,2.89,-6.49,0.14,
0.974,4.88,-2.93,-9.28,2.89,-6.49,0.14,
0.974,4.88,-2.93,-9.28,2.89,-6.49,0.14,
0.982,4.88,-2.93,-9.28,2.79,-6.14,0.25,
0.982,4.88,-2.93,-9.28,2.79,-6.14,0.25,
0.983,4.81,-2.93,-9.41,2.79,-6.14,0.25,
0.984,4.81,-2.93,-9.41,2.79,-6.14,0.25,
0.991,4.81,-2.93,-9.41,2.61,-5.78,0.44,
0.994,4.81,-2.93,-9.41,2.61,-5.78,0.44,
0.995,4.82,-2.92,-9.53,2.61,-5.78,0.44,
0.995,4.82,-2.92,-9.53,2.61,-5.78,0.44,
1.0,4.82,-2.92,-9.53,2.39,-5.44,0.65,
1.001,4.82,-2.92,-9.53,2.39,-5.44,0.65,
1.001,4.81,-2.90,-9.51,2.39,-5.44,0.65,
1.002,4.81,-2.90,-9.51,2.39,-5.44,0.65,
1.01,4.81,-2.90,-9.51,2.18,-5.14,0.80,
