
time,ax,ay,az,wx,wy,wz,
0.645,7.44,-2.40,2.21,-1.84,-4.16,0.14,
0.645,7.39,-2.97,1.83,-1.84,-4.16,0.14,
0.646,7.39,-2.97,1.83,-1.84,-4.16,0.14,
0.654,7.39,-2.97,1.83,-1.51,-3.13,0.56,
0.655,7.39,-2.97,1.83,-1.51,-3.13,0.56,
0.656,7.38,-3.48,1.68,-1.51,-3.13,0.56,
0.656,7.38,-3.48,1.68,-1.51,-3.13,0.56,
0.663,7.38,-3.48,1.68,-1.33,-2.32,0.87,
0.664,7.38,-3.48,1.68,-1.33,-2.32,0.87,
0.665,7.31,-3.85,1.81,-1.33,-2.32,0.87,
0.665,7.31,-3.85,1.81,-1.33,-2.32,0.87,
0.673,7.31,-3.85,1.81,-1.30,-1.75,1.08,
0.674,7.31,-3.85,1.81,-1.30,-1.75,1.08,
0.675,7.11,-4.06,2.00,-1.30,-1.75,1.08,
0.675,7.11,-4.06,2.00,-1.30,-1.75,1.08,
0.683,7.11,-4.06,2.00,-1.37,-1.33,1.22,
0.684,7.11,-4.06,2.00,-1.37,-1.33,1.22,
0.685,6.80,-4.14,1.99,-1.37,-1.33,1.22,
0.685,6.80,-4.14,1.99,-1.37,-1.33,1.22,
0.692,6.80,-4.14,1.99,-1.45,-0.99,1.34,
0.693,6.80,-4.14,1.99,-1.45,-0.99,1.34,
0.693,6.47,-4.11,1.63,-1.45,-0.99,1.34,
0.694,6.47,-4.11,1.63,-1.45,-0.99,1.34,
0.702,6.47,-4.11,1.63,-1.48,-0.70,1.44,
0.703,6.47,-4.11,1.63,-1.48,-0.70,1.44,
0.704,6.25,-3.96,-0.29,-1.48,-0.70,1.44,
0.705,6.25,-3.96,-0.29,-1.48,-0.70,1.44,
0.711,6.25,-3.96,-0.29,-1.45,-0.49,1.50,
0.713,6.25,-3.96,-0.29,-1.45,-0.49,1.50,
0.713,6.20,-3.72,-0.70,-1.45,-0.49,1.50,
0.714,6.20,-3.72,-0.70,-1.45,-0.49,1.50,
0.721,6.20,-3.72,-0.70,-1.35,-0.41,1.52,
0.722,6.20,-3.72,-0.70,-1.35,-0.41,1.52,
0.723,6.32,-3.39,-2.21,-1.35,-0.41,1.52,
0.724,6.32,-3.39,-2.21,-1.35,-0.41,1.52,
0.73,6.32,-3.39,-2.21,-1.35,-0.41,1.52,
0.73,6.32,-3.39,-2.21,-1.35,-0.41,1.52,
0.731,6.32,-3.39,-2.21,-1.35,-0.41,1.52,
0.731,6.32,-3.39,-2.21,-1.35,-0.41,1.52,
0.74,6.32,-3.39,-2.21,-1.19,-0.51,1.48,
0.74,6.32,-3.39,-2.21,-1.19,-0.51,1.48,
0.741,6.91,-2.76,-4.37,-1.19,-0.51,1.48,
0.741,6.91,-2.76,-4.37,-1.19,-0.51,1.48,
0.749,6.91,-2.76,-4.37,-0.97,-0.83,1.36,
0.75,6.91,-2.76,-4.37,-0.97,-0.83,1.36,
0.75,6.80,-2.52,-6.14,-0.97,-0.83,1.36,
0.751,6.80,-2.52,-6.14,-0.97,-0.83,1.36,
0.758,6.80,-2.52,-6.14,-0.71,-1.40,1.15,
0.759,6.80,-2.52,-6.14,-0.71,-1.40,1.15,
0.76,6.41,-2.36,-6.45,-0.71,-1.40,1.15,
0.76,6.41,-2.36,-6.45,-0.71,-1.40,1.15,
0.768,6.41,-2.36,-6.45,-0.44,-2.22,0.85,
0.77,6.41,-2.36,-6.45,-0.44,-2.22,0.85,
0.771,5.79,-2.35,-6.88,-0.44,-2.22,0.85,
0.772,5.79,-2.35,-6.88,-0.44,-2.22,0.85,
0.777,5.79,-2.35,-6.88,-0.21,-3.16,0.49,
0.779,5.79,-2.35,-6.88,-0.21,-3.16,0.49,
0.779,5.07,-2.44,-7.29,-0.21,-3.16,0.49,
0.78,5.07,-2.44,-7.29,-0.21,-3.16,0.49,
0.79,5.07,-2.44,-7.29,-0.06,-4.01,0.34,
0.791,5.07,-2.44,-7.29,-0.06,-4.01,0.34,
0.792,4.36,-2.60,-7.57,-0.06,-4.01,0.34,
0.792,4.36,-2.60,-7.57,-0.06,-4.01,0.34,
0.797,4.36,-2.60,-7.57,-0.02,-4.64,0.38,
0.798,4.36,-2.60,-7.57,-0.02,-4.64,0.38,
0.798,3.75,-2.79,-7.64,-0.02,-4.64,0.38,
0.799,3.75,-2.79,-7.64,-0.02,-4.64,0.38,
0.806,3.75,-2.79,-7.64,-0.07,-5.05,0.25,
0.807,3.75,-2.79,-7.64,-0.07,-5.05,0.25,
0.807,3.33,-2.94,-7.54,-0.07,-5.05,0.25,
0.808,3.33,-2.94,-7.54,-0.07,-5.05,0.25,
0.816,3.33,-2.94,-7.54,-0.19,-5.24,0.04,
