time,ax,ay,az,wx,wy,wz
5.825,2.94,2.12,-6.41,-1.7,1.28,-0.32
5.826,3.28,0.34,-6.57,-1.7,1.28,-0.32
5.826,3.28,0.34,-6.57,-1.7,1.28,-0.32
5.834,3.28,0.34,-6.57,-1.7,1.28,-0.32
5.834,3.28,0.34,-6.57,-1.7,1.28,-0.32
5.835,3.28,0.34,-6.57,-1.7,1.28,-0.32
5.835,3.28,0.34,-6.57,-1.7,1.28,-0.32
5.844,3.28,0.34,-6.57,-3,2.33,-0.27
5.845,3.28,0.34,-6.57,-3,2.33,-0.27
5.845,3.35,-0.47,-6.94,-3,2.33,-0.27
5.846,3.35,-0.47,-6.94,-3,2.33,-0.27
5.854,3.35,-0.47,-6.94,-4.22,3.38,-0.13
5.855,3.35,-0.47,-6.94,-4.22,3.38,-0.13
5.855,2.99,-0.85,-7.08,-4.22,3.38,-0.13
5.856,2.99,-0.85,-7.08,-4.22,3.38,-0.13
5.863,2.99,-0.85,-7.08,-4.95,4.07,0.1
5.864,2.99,-0.85,-7.08,-4.95,4.07,0.1
5.864,2.54,-0.97,-7.29,-4.95,4.07,0.1
5.864,2.54,-0.97,-7.29,-4.95,4.07,0.1
5.873,2.54,-0.97,-7.29,-5.13,4.26,0.34
5.874,2.54,-0.97,-7.29,-5.13,4.26,0.34
5.874,2.16,-0.81,-7.37,-5.13,4.26,0.34
5.874,2.16,-0.81,-7.37,-5.13,4.26,0.34
5.883,2.16,-0.81,-7.37,-4.96,4.1,0.56
5.884,2.16,-0.81,-7.37,-4.96,4.1,0.56
5.884,1.89,-0.43,-7.12,-4.96,4.1,0.56
5.885,1.89,-0.43,-7.12,-4.96,4.1,0.56
5.891,1.89,-0.43,-7.12,-4.63,3.74,0.77
5.891,1.89,-0.43,-7.12,-4.63,3.74,0.77
5.892,1.59,0.04,-6.49,-4.63,3.74,0.77
5.892,1.59,0.04,-6.49,-4.63,3.74,0.77
5.9,1.59,0.04,-6.49,-4.23,3.28,0.94
5.901,1.59,0.04,-6.49,-4.23,3.28,0.94
5.901,1.1,0.55,-4.79,-4.23,3.28,0.94
5.902,1.1,0.55,-4.79,-4.23,3.28,0.94
5.91,1.1,0.55,-4.79,-3.76,2.77,1.04
5.911,1.1,0.55,-4.79,-3.76,2.77,1.04
5.911,0.42,1.03,-4.33,-3.76,2.77,1.04
5.912,0.42,1.03,-4.33,-3.76,2.77,1.04
5.919,0.42,1.03,-4.33,-3.19,2.19,1.06
5.92,0.42,1.03,-4.33,-3.19,2.19,1.06
5.921,-1.15,1.44,-3.85,-3.19,2.19,1.06
5.921,-1.15,1.44,-3.85,-3.19,2.19,1.06
5.929,-1.15,1.44,-3.85,-2.55,1.53,1.05
5.93,-1.15,1.44,-3.85,-2.55,1.53,1.05
5.93,-1.5,1.72,-3.45,-2.55,1.53,1.05
5.931,-1.5,1.72,-3.45,-2.55,1.53,1.05
5.938,-1.5,1.72,-3.45,-1.93,0.81,0.84
5.94,-1.5,1.72,-3.45,-1.93,0.81,0.84
5.941,-1.81,1.84,-3,-1.93,0.81,0.84
5.942,-1.81,1.84,-3,-1.93,0.81,0.84
5.954,-1.81,1.84,-3,-1.38,0.09,0.81
5.955,-1.81,1.84,-3,-1.38,0.09,0.81
5.956,-2.03,1.81,-2.44,-1.38,0.09,0.81
5.956,-2.03,1.81,-2.44,-1.38,0.09,0.81
5.958,-2.03,1.81,-2.44,-0.89,-0.55,1.14
5.959,-2.03,1.81,-2.44,-0.89,-0.55,1.14
5.96,-2.12,1.64,-1.94,-0.89,-0.55,1.14
5.96,-2.12,1.64,-1.94,-0.89,-0.55,1.14
5.969,-2.12,1.64,-1.94,-0.44,-1.09,1.41
5.97,-2.12,1.64,-1.94,-0.44,-1.09,1.41
5.97,-2.08,1.41,-1.66,-0.44,-1.09,1.41
5.971,-2.08,1.41,-1.66,-0.44,-1.09,1.41
5.976,-2.08,1.41,-1.66,-0.02,-1.53,1.56
5.977,-2.08,1.41,-1.66,-0.02,-1.53,1.56
